|6.6.6
echonhy_1.tab                                                                                       
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3505.814       5.886795       2.422818       4023689.      0.3523391E-04
  3506.587       5.888738       2.423208       4024045.      0.3520195E-04
  3507.360       5.890677       2.423597       4024399.      0.3517006E-04
  3508.218       5.892354       2.424159       4024786.      0.3513978E-04
  3508.990       5.894283       2.424548       4025139.      0.3510803E-04
  3509.861       5.895909       2.425139       4025535.      0.3507814E-04
  3510.632       5.897830       2.425527       4025887.      0.3504652E-04
  3511.917       5.898223       2.426942       4026561.      0.3502401E-04
  3512.687       5.900136       2.427331       4026912.      0.3499250E-04
  3513.456       5.902045       2.427719       4027263.      0.3496106E-04
  3514.225       5.903950       2.428107       4027613.      0.3492969E-04
  3514.993       5.905851       2.428495       4027962.      0.3489838E-04
  3515.761       5.907748       2.428883       4028310.      0.3486714E-04
  3516.528       5.909642       2.429271       4028658.      0.3483597E-04
  3517.670       5.910437       2.430397       4029371.      0.3481125E-04
  3518.437       5.912323       2.430785       4029718.      0.3478019E-04
  3519.202       5.914206       2.431172       4030064.      0.3474920E-04
  3519.968       5.916085       2.431559       4030409.      0.3471827E-04
  3520.397       5.918928       2.431294       4030421.      0.3468182E-04
  3521.160       5.920800       2.431681       4030764.      0.3465104E-04
  3522.018       5.922395       2.432253       4031191.      0.3462189E-04
  3522.781       5.924260       2.432640       4031533.      0.3459123E-04
  3523.542       5.926122       2.433028       4031874.      0.3456064E-04
  3525.232       5.927904       2.435384       4033488.      0.3459711E-04
  3525.993       5.929773       2.435770       4033828.      0.3456654E-04
  3527.923       5.931763       2.438649       4035822.      0.3462345E-04
  3528.684       5.933644       2.439035       4036160.      0.3459289E-04
  3530.688       5.935727       2.442073       4038301.      0.3465532E-04
  3531.449       5.937620       2.442458       4038638.      0.3462476E-04
  3533.526       5.939876       2.445660       4040932.      0.3469410E-04
  3534.286       5.941781       2.446045       4041267.      0.3466353E-04
  3535.046       5.943682       2.446429       4041601.      0.3463303E-04
  3537.194       5.946056       2.449783       4044061.      0.3470736E-04
  3537.954       5.947969       2.450167       4044393.      0.3467685E-04
  3542.721       5.971266       2.456519       4033243.      0.3480476E-04
  3543.474       5.973206       2.456925       4033562.      0.3477442E-04
  3547.043       5.982261       2.462619       4033111.      0.3491934E-04
  3547.793       5.984226       2.463031       4033425.      0.3488898E-04
  3551.643       5.994072       2.469282       4033007.      0.3505137E-04
  3552.392       5.996062       2.469701       4033315.      0.3502099E-04
  3556.466       6.006893       2.476414       4032835.      0.3519994E-04
  3557.213       6.008910       2.476839       4033136.      0.3516952E-04
  3557.958       6.010922       2.477264       4033437.      0.3513916E-04
  3562.275       6.022629       2.484483       4032952.      0.3533438E-04
  3563.019       6.024670       2.484915       4033246.      0.3530398E-04
  3567.546       6.037293       2.492577       4032677.      0.3551472E-04
  3568.287       6.039361       2.493017       4032964.      0.3548428E-04
  3573.141       6.053073       2.501348       4032458.      0.3571648E-04
  3573.879       6.055172       2.501796       4032737.      0.3568598E-04
  3581.738       6.071598       2.512368       4029686.      0.3602151E-04
