|6.6.6
CM_hydrous_differentiated_Ganymede_Core80Fe20S_1.tab                                                
           2
T(K)    
   273.150000000000     
   5.53477564102564     
         313
P(bar)  
   1.00000000000000     
   277.240384615385     
         313
           9
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  1463.13        1.00000        3468.88        6.39019        3.06975       0.411258E+007  0.445296E-004   980652.        326884.     
  1468.66        1.00000        3467.98        6.38804        3.06871       0.411380E+007  0.445980E-004   979741.        326580.     
  1474.20        1.00000        3467.13        6.38544        3.06747       0.411501E+007  0.446659E-004   978704.        326235.     
  1479.73        1.00000        3466.27        6.38285        3.06622       0.411620E+007  0.447340E-004   977666.        325889.     
  1485.27        1.00000        3465.41        6.38025        3.06497       0.411739E+007  0.448023E-004   976628.        325543.     
  1490.80        1.00000        3452.82        6.40603        3.07736       0.409895E+007  0.447738E-004   980960.        326987.     
  1496.34        1.00000        3451.95        6.40360        3.07619       0.410015E+007  0.448424E-004   979969.        326656.     
  1501.87        1.00000        3451.09        6.40116        3.07502       0.410134E+007  0.449111E-004   978978.        326326.     
  1507.40        1.00000        3450.22        6.39872        3.07385       0.410252E+007  0.449801E-004   977987.        325996.     
  1512.94        1.00000        3449.34        6.39628        3.07267       0.410365E+007  0.450509E-004   976991.        325664.     
  1518.47        1.00000        3448.48        6.39384        3.07150       0.410481E+007  0.451199E-004   976002.        325334.     
  1524.01        1.00000        3447.61        6.39140        3.07033       0.410595E+007  0.451891E-004   975012.        325004.     
  1529.54        1.00000        3446.75        6.38896        3.06916       0.410709E+007  0.452581E-004   974023.        324674.     
  1535.08        1.00000        3445.87        6.38652        3.06798       0.410820E+007  0.453282E-004   973032.        324344.     
  1540.61        1.00000        3445.01        6.38392        3.06674       0.410929E+007  0.453982E-004   971997.        323999.     
  1546.15        1.00000        3444.11        6.38179        3.06571       0.411036E+007  0.454705E-004   971094.        323698.     
  1551.68        1.00000        3443.24        6.37918        3.06446       0.411143E+007  0.455410E-004   970056.        323352.     
  1557.22        1.00000        3442.37        6.37658        3.06321       0.411249E+007  0.456117E-004   969021.        323007.     
  1562.75        1.00000        3441.50        6.37398        3.06196       0.411353E+007  0.456826E-004   967986.        322662.     
  1568.29        1.00000        3440.63        6.37136        3.06070       0.411456E+007  0.457538E-004   966945.        322315.     
  1573.82        1.00000        3439.76        6.36875        3.05945       0.411558E+007  0.458253E-004   965907.        321969.     
  1579.36        1.00000        3438.89        6.36613        3.05819       0.411659E+007  0.458969E-004   964869.        321623.     
  1584.89        1.00000        3438.01        6.36352        3.05693       0.411759E+007  0.459689E-004   963831.        321277.     
  1590.43        1.00000        3437.14        6.36089        3.05567       0.411857E+007  0.460410E-004   962792.        320931.     
  1595.96        1.00000        3436.26        6.35827        3.05441       0.411954E+007  0.461135E-004   961753.        320584.     
  1601.50        1.00000        3435.38        6.35565        3.05315       0.412050E+007  0.461861E-004   960713.        320238.     
  1607.03        1.00000        3434.50        6.35302        3.05189       0.412145E+007  0.462591E-004   959674.        319891.     
  1612.57        1.00000        3433.62        6.35039        3.05063       0.412238E+007  0.463323E-004   958633.        319544.     
